Tiempo,AnguloRodillaDerecha,AnguloRodillaIzquierda,AngulosPieDerecho,AngulosPieIzquierdo,AngulosTobilloDerecho,AngulosTobilloIzquierdo
28.235,180.0,180.0,0.0,-0.0,90.0,90.0
28.322,180.0,180.0,0.0,-0.0,90.0,90.0
28.41,180.0,180.0,0.0,-0.0,90.0,90.0
28.498,180.0,180.0,0.0,-0.0,90.0,90.0
28.588,180.0,180.0,0.0,-0.0,90.0,90.0
28.676,180.0,180.0,0.0,-0.0,90.0,90.0
28.764,180.0,180.0,0.0,-0.0,90.0,90.0
28.851999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
28.94,180.0,180.0,0.0,-0.0,90.0,90.0
29.03,180.0,180.0,0.0,-0.0,90.0,90.0
29.118000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
29.206,180.0,180.0,0.0,-0.0,90.0,90.0
29.294,180.0,180.0,0.0,-0.0,90.0,90.0
29.381999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
29.471,180.0,180.0,0.0,-0.0,90.0,90.0
29.56,180.0,180.0,0.0,-0.0,90.0,90.0
29.648000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
29.736,180.0,180.0,0.0,-0.0,90.0,90.0
29.824,180.0,180.0,0.0,-0.0,90.0,90.0
29.912,180.0,180.0,0.0,-0.0,90.0,90.0
30.000999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
30.089000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
30.177,180.0,180.0,0.0,-0.0,90.0,90.0
30.265,180.0,180.0,0.0,-0.0,90.0,90.0
30.353,180.0,180.0,0.0,-0.0,90.0,90.0
30.443,180.0,180.0,0.0,-0.0,90.0,90.0
30.531,180.0,180.0,0.0,-0.0,90.0,90.0
30.619,180.0,180.0,0.0,-0.0,90.0,90.0
30.706999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
30.795,180.0,180.0,0.0,-0.0,90.0,90.0
30.885,180.0,180.0,0.0,-0.0,90.0,90.0
30.973000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
31.061,180.0,180.0,0.0,-0.0,90.0,90.0
31.149,180.0,180.0,0.0,-0.0,90.0,90.0
31.237,180.0,180.0,0.0,-0.0,90.0,90.0
31.325,180.0,180.0,0.0,-0.0,90.0,90.0
31.414,180.0,180.0,0.0,-0.0,90.0,90.0
31.502,180.0,180.0,0.0,-0.0,90.0,90.0
31.59,180.0,180.0,0.0,-0.0,90.0,90.0
31.678,180.0,180.0,0.0,-0.0,90.0,90.0
31.766,180.0,180.0,0.0,-0.0,90.0,90.0
31.855999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
31.944000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
32.032,180.0,180.0,0.0,-0.0,90.0,90.0
32.12,180.0,180.0,0.0,-0.0,90.0,90.0
32.208,180.0,180.0,0.0,-0.0,90.0,90.0
